ID;User ID;Activity Date;Activity Type
1;1;2023-05-15;Registration
2;2;2023-02-04;Registration
3;3;2023-02-17;Investment
4;4;2023-07-06;Login
5;5;2023-02-14;Login
6;6;2023-07-24;Investment
7;7;2023-05-09;Registration
8;8;2023-04-11;Investment
9;9;2023-01-18;Login
10;10;2023-03-31;Registration
11;11;2023-05-26;Registration
12;12;2023-06-06;Investment
13;13;2023-04-11;Login
14;14;2023-06-01;Registration
15;15;2023-03-16;Investment
16;16;2023-07-05;Registration
17;17;2023-08-09;Investment
18;18;2023-03-27;Registration
19;19;2023-04-10;Login
20;20;2023-02-27;Login
21;21;2023-07-01;Registration
22;22;2023-05-12;Registration
23;23;2023-02-13;Registration
24;24;2023-05-15;Login
25;25;2023-01-28;Login
26;26;2023-02-06;Registration
27;27;2023-08-31;Registration
28;28;2023-05-09;Investment
29;29;2023-04-23;Login
30;30;2023-08-30;Login
31;31;2023-03-06;Registration
32;32;2023-03-20;Registration
33;33;2023-04-06;Login
34;34;2023-02-20;Registration
35;35;2023-05-14;Registration
36;36;2023-03-16;Registration
37;37;2023-07-03;Registration
38;38;2023-05-10;Registration
39;39;2023-06-21;Login
40;40;2023-01-09;Login
41;41;2023-01-27;Registration
42;42;2023-06-26;Investment
43;43;2023-03-30;Login
44;44;2023-04-22;Registration
45;45;2023-06-25;Investment
46;46;2023-01-07;Registration
47;47;2023-06-17;Registration
48;48;2023-01-03;Login
49;49;2023-01-27;Investment
50;50;2023-08-14;Investment
51;51;2023-05-29;Login
52;52;2023-05-09;Registration
53;53;2023-02-14;Registration
54;54;2023-07-12;Registration
55;55;2023-01-24;Registration
56;56;2023-02-17;Login
57;57;2023-02-23;Registration
58;58;2023-07-12;Investment
59;59;2023-01-28;Login
60;60;2023-05-12;Registration
61;61;2023-07-25;Registration
62;62;2023-08-05;Login
63;63;2023-03-29;Registration
64;64;2023-06-14;Registration
65;65;2023-06-27;Login
66;66;2023-06-20;Registration
67;67;2023-06-03;Investment
68;68;2023-04-06;Investment
69;69;2023-05-12;Registration
70;70;2023-05-23;Registration
71;71;2023-01-18;Login
72;72;2023-06-15;Investment
73;73;2023-01-01;Investment
74;74;2023-04-30;Registration
75;75;2023-03-05;Login
76;76;2023-04-27;Investment
77;77;2023-08-05;Login
78;78;2023-08-09;Investment
79;79;2023-08-14;Investment
80;80;2023-01-20;Registration
81;81;2023-08-11;Login
82;82;2023-01-30;Investment
83;83;2023-02-20;Investment
84;84;2023-07-13;Investment
85;85;2023-06-01;Login
86;86;2023-08-28;Login
87;87;2023-01-19;Login
88;88;2023-02-04;Login
89;89;2023-05-29;Login
90;90;2023-05-02;Registration
91;91;2023-07-09;Login
92;92;2023-02-13;Registration
93;93;2023-04-02;Registration
94;94;2023-03-05;Investment
95;95;2023-03-26;Investment
96;96;2023-06-18;Login
97;97;2023-05-04;Login
98;98;2023-01-14;Registration
99;99;2023-05-10;Investment
100;100;2023-08-12;Investment
